[(1, 'purple', 'wiggly', 'stripes'), (1, 'green', 'round', 'solid'), (2, 'green', 'wiggly', 'stripes'), (2, 'green', 'wiggly', 'empty'), (2, 'red', 'square', 'empty'), (1, 'red', 'square', 'empty'), (2, 'red', 'wiggly', 'empty'), (3, 'purple', 'wiggly', 'stripes'), (2, 'purple', 'wiggly', 'empty'), (2, 'red', 'wiggly', 'stripes'), (3, 'purple', 'square', 'empty'), (1, 'red', 'wiggly', 'stripes')]
[(1, 'red', 'round', 'solid'), (3, 'purple', 'round', 'solid'), (1, 'green', 'wiggly', 'empty'), (2, 'purple', 'wiggly', 'stripes'), (2, 'green', 'round', 'solid'), (2, 'red', 'round', 'empty'), (1, 'purple', 'wiggly', 'stripes'), (3, 'green', 'round', 'solid'), (2, 'red', 'square', 'empty'), (3, 'purple', 'square', 'solid'), (2, 'green', 'wiggly', 'empty'), (2, 'red', 'wiggly', 'solid')]
[(1, 'red', 'round', 'empty'), (1, 'purple', 'round', 'empty'), (1, 'red', 'round', 'stripes'), (3, 'red', 'round', 'stripes'), (2, 'red', 'square', 'solid'), (1, 'green', 'wiggly', 'solid'), (1, 'green', 'square', 'empty'), (3, 'purple', 'wiggly', 'empty'), (3, 'purple', 'square', 'empty'), (2, 'green', 'square', 'solid'), (2, 'red', 'square', 'stripes'), (3, 'purple', 'square', 'stripes')]
[(3, 'green', 'square', 'solid'), (1, 'purple', 'square', 'stripes'), (2, 'green', 'square', 'empty'), (3, 'purple', 'round', 'empty'), (2, 'red', 'wiggly', 'solid'), (2, 'purple', 'wiggly', 'empty'), (3, 'red', 'wiggly', 'solid'), (3, 'green', 'wiggly', 'stripes'), (2, 'green', 'wiggly', 'stripes'), (3, 'red', 'square', 'empty'), (2, 'purple', 'round', 'solid'), (1, 'purple', 'round', 'empty')]
[(3, 'red', 'square', 'stripes'), (1, 'purple', 'round', 'empty'), (1, 'purple', 'square', 'stripes'), (3, 'green', 'wiggly', 'solid'), (3, 'green', 'round', 'empty'), (3, 'red', 'round', 'empty'), (1, 'red', 'square', 'empty'), (2, 'green', 'wiggly', 'stripes'), (1, 'green', 'square', 'solid'), (2, 'purple', 'wiggly', 'empty'), (3, 'purple', 'wiggly', 'stripes'), (2, 'purple', 'square', 'empty')]
[(2, 'green', 'square', 'empty'), (3, 'red', 'square', 'stripes'), (1, 'green', 'square', 'stripes'), (1, 'red', 'wiggly', 'solid'), (3, 'purple', 'round', 'empty'), (1, 'green', 'wiggly', 'empty'), (3, 'green', 'wiggly', 'empty'), (1, 'red', 'wiggly', 'empty'), (3, 'red', 'round', 'empty'), (1, 'purple', 'round', 'solid'), (3, 'green', 'wiggly', 'stripes'), (3, 'green', 'round', 'empty')]
[(3, 'green', 'round', 'solid'), (2, 'purple', 'square', 'solid'), (3, 'purple', 'wiggly', 'stripes'), (1, 'green', 'wiggly', 'empty'), (1, 'red', 'wiggly', 'stripes'), (1, 'purple', 'wiggly', 'solid'), (2, 'green', 'square', 'solid'), (1, 'red', 'square', 'solid'), (3, 'purple', 'round', 'empty'), (1, 'purple', 'round', 'solid'), (1, 'red', 'wiggly', 'solid'), (3, 'green', 'round', 'empty')]
[(2, 'green', 'square', 'solid'), (1, 'green', 'round', 'empty'), (2, 'purple', 'wiggly', 'empty'), (1, 'green', 'round', 'stripes'), (2, 'red', 'wiggly', 'empty'), (2, 'red', 'wiggly', 'solid'), (2, 'red', 'round', 'stripes'), (2, 'purple', 'square', 'solid'), (3, 'purple', 'wiggly', 'empty'), (3, 'green', 'wiggly', 'empty'), (2, 'green', 'round', 'stripes'), (1, 'purple', 'round', 'stripes')]
[(2, 'green', 'square', 'stripes'), (1, 'green', 'wiggly', 'empty'), (1, 'red', 'wiggly', 'empty'), (1, 'purple', 'round', 'empty'), (1, 'red', 'round', 'solid'), (3, 'purple', 'round', 'stripes'), (1, 'red', 'round', 'stripes'), (2, 'green', 'round', 'empty'), (3, 'red', 'wiggly', 'solid'), (2, 'red', 'round', 'stripes'), (1, 'purple', 'wiggly', 'solid'), (3, 'purple', 'wiggly', 'stripes')]
[(3, 'red', 'square', 'stripes'), (3, 'green', 'square', 'empty'), (1, 'purple', 'square', 'empty'), (3, 'purple', 'round', 'solid'), (2, 'red', 'round', 'stripes'), (1, 'purple', 'wiggly', 'solid'), (3, 'red', 'square', 'empty'), (3, 'red', 'wiggly', 'empty'), (2, 'red', 'square', 'solid'), (3, 'purple', 'round', 'empty'), (1, 'green', 'wiggly', 'stripes'), (3, 'purple', 'wiggly', 'stripes')]
[(1, 'green', 'wiggly', 'stripes'), (3, 'purple', 'wiggly', 'solid'), (3, 'purple', 'round', 'solid'), (3, 'purple', 'round', 'stripes'), (1, 'purple', 'round', 'empty'), (2, 'green', 'wiggly', 'solid'), (2, 'red', 'wiggly', 'stripes'), (3, 'red', 'square', 'empty'), (1, 'green', 'round', 'stripes'), (1, 'red', 'square', 'stripes'), (2, 'green', 'square', 'stripes'), (2, 'green', 'wiggly', 'empty')]
[(3, 'green', 'round', 'stripes'), (1, 'red', 'wiggly', 'stripes'), (1, 'green', 'round', 'empty'), (2, 'purple', 'wiggly', 'empty'), (3, 'red', 'square', 'solid'), (2, 'green', 'square', 'stripes'), (3, 'red', 'wiggly', 'empty'), (2, 'green', 'square', 'solid'), (1, 'green', 'round', 'stripes'), (2, 'purple', 'wiggly', 'solid'), (2, 'red', 'round', 'solid'), (1, 'red', 'square', 'stripes')]
[(3, 'red', 'square', 'empty'), (2, 'purple', 'round', 'stripes'), (2, 'purple', 'square', 'stripes'), (2, 'red', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'solid'), (2, 'green', 'wiggly', 'empty'), (2, 'purple', 'round', 'empty'), (3, 'purple', 'round', 'empty'), (2, 'green', 'wiggly', 'stripes'), (3, 'green', 'square', 'empty'), (1, 'red', 'wiggly', 'empty'), (2, 'red', 'square', 'solid')]
[(2, 'green', 'square', 'solid'), (3, 'green', 'round', 'solid'), (1, 'green', 'square', 'empty'), (2, 'purple', 'wiggly', 'stripes'), (3, 'green', 'round', 'stripes'), (3, 'purple', 'round', 'solid'), (1, 'purple', 'wiggly', 'empty'), (3, 'green', 'wiggly', 'empty'), (2, 'green', 'round', 'empty'), (1, 'purple', 'wiggly', 'stripes'), (1, 'green', 'square', 'stripes'), (3, 'green', 'wiggly', 'solid')]
[(1, 'red', 'wiggly', 'solid'), (1, 'purple', 'square', 'stripes'), (3, 'purple', 'square', 'stripes'), (2, 'purple', 'wiggly', 'empty'), (3, 'purple', 'wiggly', 'stripes'), (1, 'purple', 'round', 'stripes'), (2, 'red', 'wiggly', 'empty'), (2, 'purple', 'square', 'empty'), (2, 'green', 'square', 'empty'), (2, 'green', 'wiggly', 'stripes'), (2, 'red', 'round', 'solid'), (3, 'green', 'square', 'empty')]
[(3, 'green', 'wiggly', 'empty'), (1, 'purple', 'round', 'empty'), (2, 'red', 'square', 'stripes'), (1, 'purple', 'square', 'solid'), (2, 'red', 'wiggly', 'stripes'), (1, 'green', 'square', 'solid'), (3, 'red', 'square', 'solid'), (3, 'purple', 'round', 'empty'), (2, 'purple', 'square', 'solid'), (3, 'red', 'round', 'solid'), (1, 'green', 'round', 'solid'), (2, 'red', 'wiggly', 'solid')]
[(2, 'green', 'round', 'empty'), (2, 'purple', 'round', 'stripes'), (1, 'green', 'wiggly', 'solid'), (2, 'purple', 'round', 'empty'), (2, 'red', 'square', 'empty'), (2, 'red', 'round', 'stripes'), (3, 'green', 'wiggly', 'empty'), (3, 'purple', 'round', 'solid'), (3, 'red', 'round', 'empty'), (1, 'red', 'round', 'empty'), (3, 'green', 'round', 'solid'), (1, 'purple', 'round', 'stripes')]
[(1, 'red', 'round', 'stripes'), (2, 'purple', 'round', 'empty'), (1, 'green', 'square', 'solid'), (1, 'red', 'round', 'empty'), (3, 'purple', 'round', 'stripes'), (1, 'red', 'round', 'solid'), (1, 'purple', 'round', 'stripes'), (2, 'purple', 'round', 'stripes'), (3, 'purple', 'square', 'empty'), (1, 'green', 'round', 'solid'), (3, 'purple', 'wiggly', 'empty'), (1, 'red', 'square', 'solid')]
[(3, 'purple', 'square', 'empty'), (3, 'green', 'round', 'stripes'), (1, 'green', 'square', 'empty'), (2, 'green', 'wiggly', 'stripes'), (3, 'green', 'round', 'empty'), (1, 'green', 'round', 'stripes'), (3, 'green', 'square', 'empty'), (1, 'red', 'square', 'empty'), (3, 'red', 'wiggly', 'solid'), (1, 'red', 'wiggly', 'stripes'), (3, 'red', 'round', 'stripes'), (2, 'red', 'round', 'empty')]
[(3, 'purple', 'round', 'solid'), (1, 'green', 'square', 'stripes'), (2, 'green', 'wiggly', 'stripes'), (1, 'green', 'round', 'stripes'), (3, 'red', 'round', 'empty'), (1, 'red', 'wiggly', 'stripes'), (1, 'green', 'wiggly', 'stripes'), (3, 'green', 'square', 'solid'), (3, 'red', 'square', 'empty'), (3, 'red', 'wiggly', 'solid'), (2, 'purple', 'round', 'empty'), (3, 'green', 'round', 'solid')]
[(3, 'red', 'square', 'stripes'), (3, 'red', 'square', 'solid'), (2, 'green', 'square', 'solid'), (3, 'red', 'square', 'empty'), (1, 'green', 'square', 'solid'), (2, 'purple', 'wiggly', 'solid'), (2, 'green', 'wiggly', 'empty'), (3, 'purple', 'round', 'stripes'), (3, 'green', 'round', 'solid'), (2, 'purple', 'wiggly', 'empty'), (2, 'purple', 'round', 'solid'), (2, 'red', 'wiggly', 'stripes')]
[(2, 'red', 'round', 'empty'), (2, 'red', 'wiggly', 'stripes'), (1, 'purple', 'square', 'solid'), (2, 'green', 'wiggly', 'stripes'), (3, 'purple', 'round', 'empty'), (2, 'green', 'wiggly', 'solid'), (1, 'green', 'wiggly', 'solid'), (2, 'red', 'wiggly', 'empty'), (3, 'red', 'wiggly', 'stripes'), (2, 'red', 'round', 'stripes'), (2, 'red', 'round', 'solid'), (1, 'purple', 'round', 'empty')]
[(2, 'purple', 'square', 'solid'), (3, 'red', 'round', 'stripes'), (3, 'purple', 'round', 'solid'), (2, 'green', 'round', 'empty'), (3, 'red', 'wiggly', 'empty'), (1, 'purple', 'square', 'solid'), (3, 'purple', 'wiggly', 'empty'), (1, 'green', 'round', 'empty'), (3, 'red', 'square', 'solid'), (2, 'red', 'round', 'stripes'), (2, 'red', 'round', 'solid'), (2, 'green', 'round', 'solid')]
[(1, 'purple', 'round', 'empty'), (3, 'green', 'square', 'solid'), (1, 'purple', 'square', 'solid'), (2, 'red', 'square', 'empty'), (3, 'green', 'round', 'empty'), (1, 'purple', 'square', 'empty'), (1, 'purple', 'wiggly', 'empty'), (3, 'red', 'square', 'solid'), (3, 'purple', 'round', 'stripes'), (3, 'green', 'wiggly', 'stripes'), (2, 'red', 'wiggly', 'solid'), (1, 'green', 'square', 'stripes')]
[(1, 'purple', 'round', 'solid'), (1, 'green', 'square', 'empty'), (3, 'green', 'square', 'stripes'), (3, 'purple', 'wiggly', 'solid'), (2, 'green', 'round', 'stripes'), (3, 'green', 'wiggly', 'empty'), (2, 'green', 'wiggly', 'solid'), (2, 'purple', 'square', 'solid'), (1, 'purple', 'wiggly', 'empty'), (2, 'red', 'round', 'stripes'), (1, 'green', 'round', 'stripes'), (1, 'red', 'wiggly', 'empty')]
[(1, 'purple', 'round', 'solid'), (3, 'red', 'round', 'empty'), (1, 'green', 'square', 'empty'), (2, 'green', 'square', 'stripes'), (3, 'purple', 'round', 'solid'), (1, 'green', 'round', 'empty'), (2, 'red', 'square', 'stripes'), (3, 'red', 'wiggly', 'stripes'), (2, 'red', 'round', 'solid'), (3, 'green', 'round', 'solid'), (1, 'green', 'round', 'solid'), (3, 'green', 'round', 'empty')]
[(2, 'green', 'square', 'empty'), (1, 'red', 'wiggly', 'solid'), (3, 'purple', 'wiggly', 'solid'), (3, 'purple', 'round', 'solid'), (1, 'purple', 'wiggly', 'solid'), (2, 'purple', 'square', 'empty'), (3, 'green', 'round', 'solid'), (1, 'purple', 'square', 'solid'), (3, 'red', 'square', 'empty'), (3, 'green', 'square', 'stripes'), (2, 'green', 'wiggly', 'solid'), (3, 'green', 'wiggly', 'empty')]
[(1, 'purple', 'square', 'empty'), (1, 'green', 'square', 'empty'), (2, 'green', 'wiggly', 'stripes'), (3, 'green', 'square', 'empty'), (3, 'red', 'wiggly', 'solid'), (1, 'red', 'wiggly', 'empty'), (2, 'green', 'wiggly', 'solid'), (3, 'purple', 'wiggly', 'empty'), (1, 'red', 'square', 'solid'), (1, 'red', 'square', 'empty'), (2, 'red', 'square', 'empty'), (1, 'green', 'round', 'solid')]
[(1, 'green', 'wiggly', 'solid'), (3, 'red', 'wiggly', 'empty'), (2, 'green', 'wiggly', 'empty'), (2, 'red', 'wiggly', 'empty'), (3, 'purple', 'square', 'stripes'), (3, 'purple', 'wiggly', 'empty'), (3, 'red', 'square', 'solid'), (2, 'green', 'square', 'stripes'), (2, 'purple', 'wiggly', 'empty'), (1, 'green', 'square', 'stripes'), (3, 'red', 'square', 'empty'), (1, 'green', 'square', 'empty')]
[(1, 'purple', 'square', 'stripes'), (3, 'green', 'round', 'stripes'), (1, 'purple', 'round', 'empty'), (2, 'purple', 'round', 'empty'), (1, 'red', 'wiggly', 'solid'), (2, 'green', 'square', 'empty'), (3, 'green', 'wiggly', 'stripes'), (1, 'purple', 'round', 'stripes'), (2, 'purple', 'round', 'solid'), (2, 'red', 'square', 'stripes'), (2, 'red', 'round', 'solid'), (2, 'red', 'wiggly', 'solid')]
[(1, 'red', 'wiggly', 'solid'), (2, 'purple', 'square', 'stripes'), (2, 'green', 'round', 'stripes'), (1, 'green', 'round', 'empty'), (1, 'green', 'wiggly', 'stripes'), (3, 'green', 'round', 'stripes'), (1, 'green', 'square', 'empty'), (3, 'red', 'wiggly', 'empty'), (1, 'red', 'round', 'solid'), (2, 'purple', 'round', 'empty'), (2, 'purple', 'round', 'solid'), (3, 'purple', 'square', 'empty')]
[(2, 'purple', 'square', 'solid'), (3, 'red', 'wiggly', 'stripes'), (1, 'purple', 'square', 'empty'), (2, 'red', 'round', 'solid'), (2, 'green', 'square', 'stripes'), (2, 'purple', 'round', 'stripes'), (1, 'red', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'empty'), (2, 'green', 'round', 'stripes'), (1, 'purple', 'wiggly', 'stripes'), (3, 'red', 'round', 'empty'), (2, 'green', 'wiggly', 'stripes')]
[(1, 'red', 'square', 'empty'), (1, 'green', 'wiggly', 'stripes'), (1, 'red', 'wiggly', 'empty'), (2, 'green', 'wiggly', 'stripes'), (3, 'green', 'square', 'stripes'), (2, 'green', 'square', 'stripes'), (2, 'green', 'square', 'empty'), (3, 'green', 'square', 'empty'), (1, 'green', 'round', 'solid'), (2, 'red', 'round', 'empty'), (1, 'green', 'round', 'empty'), (2, 'purple', 'round', 'stripes')]
[(1, 'red', 'square', 'stripes'), (3, 'green', 'square', 'empty'), (2, 'purple', 'round', 'empty'), (3, 'red', 'square', 'stripes'), (2, 'red', 'wiggly', 'empty'), (1, 'purple', 'wiggly', 'solid'), (1, 'green', 'square', 'empty'), (1, 'red', 'wiggly', 'empty'), (1, 'red', 'wiggly', 'solid'), (3, 'purple', 'wiggly', 'solid'), (1, 'purple', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'stripes')]
[(2, 'purple', 'round', 'stripes'), (2, 'green', 'round', 'empty'), (2, 'purple', 'wiggly', 'solid'), (1, 'purple', 'wiggly', 'empty'), (3, 'green', 'square', 'empty'), (1, 'purple', 'square', 'empty'), (1, 'green', 'wiggly', 'empty'), (2, 'green', 'square', 'empty'), (3, 'purple', 'square', 'stripes'), (3, 'green', 'round', 'stripes'), (3, 'purple', 'square', 'empty'), (1, 'purple', 'round', 'stripes')]
[(3, 'green', 'wiggly', 'solid'), (1, 'purple', 'round', 'empty'), (3, 'purple', 'round', 'empty'), (3, 'red', 'round', 'empty'), (1, 'purple', 'square', 'stripes'), (1, 'purple', 'wiggly', 'stripes'), (3, 'green', 'round', 'stripes'), (3, 'green', 'square', 'empty'), (3, 'red', 'round', 'stripes'), (2, 'red', 'round', 'empty'), (2, 'red', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'empty')]
[(2, 'purple', 'square', 'solid'), (2, 'purple', 'wiggly', 'empty'), (3, 'red', 'round', 'solid'), (1, 'green', 'square', 'stripes'), (3, 'green', 'wiggly', 'solid'), (3, 'red', 'wiggly', 'solid'), (2, 'green', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'stripes'), (3, 'purple', 'round', 'empty'), (2, 'purple', 'wiggly', 'solid'), (1, 'purple', 'round', 'stripes'), (3, 'purple', 'round', 'stripes')]
[(3, 'purple', 'round', 'solid'), (3, 'red', 'square', 'solid'), (1, 'red', 'wiggly', 'empty'), (1, 'purple', 'square', 'empty'), (1, 'purple', 'round', 'empty'), (1, 'purple', 'round', 'solid'), (2, 'purple', 'square', 'empty'), (1, 'red', 'round', 'empty'), (3, 'green', 'round', 'stripes'), (3, 'green', 'square', 'solid'), (2, 'red', 'square', 'solid'), (3, 'purple', 'wiggly', 'empty')]
[(2, 'purple', 'wiggly', 'empty'), (2, 'purple', 'square', 'stripes'), (2, 'red', 'wiggly', 'solid'), (2, 'purple', 'square', 'empty'), (1, 'purple', 'square', 'empty'), (1, 'red', 'square', 'stripes'), (3, 'green', 'round', 'stripes'), (2, 'green', 'round', 'stripes'), (2, 'purple', 'round', 'empty'), (2, 'purple', 'round', 'solid'), (1, 'green', 'square', 'solid'), (3, 'green', 'wiggly', 'solid')]
[(2, 'red', 'round', 'solid'), (3, 'green', 'square', 'solid'), (3, 'red', 'wiggly', 'stripes'), (1, 'purple', 'wiggly', 'solid'), (3, 'purple', 'square', 'empty'), (1, 'purple', 'round', 'solid'), (2, 'red', 'wiggly', 'stripes'), (3, 'red', 'square', 'empty'), (3, 'red', 'round', 'solid'), (3, 'red', 'round', 'stripes'), (1, 'purple', 'wiggly', 'empty'), (3, 'purple', 'round', 'empty')]
[(3, 'green', 'wiggly', 'solid'), (3, 'red', 'round', 'empty'), (3, 'red', 'round', 'stripes'), (1, 'green', 'round', 'stripes'), (1, 'red', 'square', 'empty'), (3, 'purple', 'wiggly', 'empty'), (2, 'green', 'round', 'solid'), (2, 'green', 'round', 'empty'), (2, 'red', 'square', 'stripes'), (1, 'purple', 'round', 'empty'), (1, 'green', 'wiggly', 'solid'), (2, 'purple', 'wiggly', 'solid')]
[(2, 'purple', 'round', 'stripes'), (3, 'purple', 'round', 'empty'), (3, 'green', 'wiggly', 'solid'), (2, 'purple', 'wiggly', 'stripes'), (2, 'purple', 'round', 'solid'), (3, 'green', 'square', 'empty'), (3, 'red', 'round', 'solid'), (1, 'green', 'round', 'stripes'), (1, 'green', 'wiggly', 'stripes'), (3, 'purple', 'wiggly', 'empty'), (2, 'purple', 'round', 'empty'), (1, 'red', 'round', 'empty')]
[(2, 'purple', 'square', 'stripes'), (1, 'red', 'square', 'stripes'), (1, 'red', 'round', 'stripes'), (1, 'green', 'round', 'stripes'), (1, 'green', 'wiggly', 'solid'), (3, 'purple', 'square', 'solid'), (2, 'green', 'round', 'stripes'), (1, 'purple', 'round', 'stripes'), (1, 'green', 'square', 'empty'), (1, 'red', 'wiggly', 'stripes'), (3, 'green', 'wiggly', 'solid'), (2, 'purple', 'round', 'stripes')]
[(3, 'green', 'round', 'stripes'), (2, 'red', 'square', 'solid'), (2, 'purple', 'wiggly', 'stripes'), (1, 'green', 'round', 'stripes'), (2, 'red', 'wiggly', 'stripes'), (3, 'red', 'wiggly', 'empty'), (1, 'purple', 'square', 'empty'), (1, 'red', 'round', 'solid'), (3, 'purple', 'round', 'stripes'), (1, 'red', 'wiggly', 'solid'), (3, 'green', 'wiggly', 'empty'), (3, 'purple', 'square', 'empty')]
[(1, 'purple', 'wiggly', 'empty'), (2, 'green', 'round', 'empty'), (3, 'purple', 'round', 'solid'), (3, 'green', 'square', 'stripes'), (3, 'purple', 'round', 'empty'), (1, 'purple', 'round', 'solid'), (2, 'green', 'round', 'solid'), (2, 'green', 'square', 'solid'), (3, 'purple', 'wiggly', 'stripes'), (1, 'green', 'round', 'stripes'), (3, 'red', 'round', 'empty'), (2, 'purple', 'wiggly', 'empty')]
[(1, 'green', 'round', 'empty'), (3, 'green', 'square', 'solid'), (1, 'green', 'wiggly', 'stripes'), (1, 'red', 'round', 'empty'), (2, 'red', 'wiggly', 'solid'), (1, 'red', 'round', 'solid'), (3, 'green', 'square', 'empty'), (3, 'green', 'round', 'empty'), (1, 'purple', 'wiggly', 'empty'), (2, 'red', 'square', 'empty'), (3, 'purple', 'square', 'stripes'), (3, 'red', 'round', 'empty')]
[(3, 'green', 'wiggly', 'stripes'), (1, 'red', 'square', 'solid'), (2, 'purple', 'wiggly', 'stripes'), (2, 'purple', 'round', 'empty'), (3, 'purple', 'wiggly', 'solid'), (1, 'purple', 'round', 'empty'), (1, 'green', 'square', 'stripes'), (3, 'green', 'square', 'solid'), (1, 'green', 'round', 'stripes'), (1, 'purple', 'wiggly', 'solid'), (1, 'green', 'square', 'empty'), (3, 'red', 'wiggly', 'solid')]
